Subject,Method,Accuracy,Precision,Recall,F1 Score,Fold
subject90002718,Sadeh,0.8446969696969697,0.8732824427480916,0.934640522875817,0.9029202841357538,0
subject90002718,Cole-Kripke,0.803030303030303,0.8238636363636364,0.9477124183006536,0.8814589665653495,0
subject90003012,Sadeh,0.8838782412626832,0.7976190476190477,0.9975186104218362,0.886438809261301,0
subject90003012,Cole-Kripke,0.7936865839909808,0.6877133105802048,1.0,0.8149646107178969,0
subject90003214,Sadeh,0.8388278388278388,0.8233532934131736,0.975177304964539,0.8928571428571429,0
subject90003214,Cole-Kripke,0.7680097680097681,0.7533875338753387,0.9858156028368794,0.8540706605222733,0
subject90005620,Sadeh,0.5050505050505051,0.4665991902834008,0.9746300211416491,0.6310746064339494,0
subject90005620,Cole-Kripke,0.465564738292011,0.44764649375600385,0.985200845665962,0.6155878467635403,0
subject90007622,Sadeh,0.9083503054989817,0.8064516129032258,0.9831460674157303,0.8860759493670886,0
subject90007622,Cole-Kripke,0.8105906313645621,0.6597744360902256,0.9859550561797753,0.7905405405405406,0
subject90010616,Sadeh,0.75,0.6428571428571429,0.9642857142857143,0.7714285714285715,0
subject90010616,Cole-Kripke,0.6397058823529411,0.5498812351543944,0.9726890756302521,0.7025796661608499,0
subject90010717,Sadeh,0.8731343283582089,0.8016701461377871,0.9820971867007673,0.8827586206896552,0
subject90010717,Cole-Kripke,0.7151741293532339,0.6336633663366337,0.9820971867007673,0.7703109327983952,0
subject90011415,Sadeh,0.6467065868263473,0.5452196382428941,0.9952830188679245,0.7045075125208681,0
subject90011415,Cole-Kripke,0.5,0.4582881906825569,0.9976415094339622,0.6280623608017817,0
subject90012012,Sadeh,0.8188874514877102,0.7607476635514019,0.9713603818615751,0.8532494758909852,0
subject90012012,Cole-Kripke,0.7270375161707633,0.6672025723472669,0.9904534606205251,0.7973102785782902,0
subject90013316,Sadeh,0.8892773892773893,0.847682119205298,0.9941747572815534,0.9151027703306522,0
subject90013316,Cole-Kripke,0.8578088578088578,0.8084772370486656,1.0,0.8940972222222222,0
subject90016420,Sadeh,0.6552552552552553,0.4301507537688442,0.9839080459770115,0.5986013986013985,0
subject90016420,Cole-Kripke,0.5855855855855856,0.38565022421524664,0.9885057471264368,0.5548387096774193,0
subject90020213,Sadeh,0.8063112078346029,0.7225705329153606,0.9978354978354979,0.8381818181818181,0
subject90020213,Cole-Kripke,0.7693144722524483,0.685459940652819,1.0,0.8133802816901409,0
subject90024621,Sadeh,0.8613138686131386,0.7650085763293311,0.9674620390455532,0.8544061302681993,0
subject90024621,Cole-Kripke,0.7198905109489051,0.6021220159151194,0.9848156182212582,0.7473251028806586,0
subject90025925,Sadeh,0.6333052985702271,0.4833729216152019,0.9975490196078431,0.6512,0
subject90025925,Cole-Kripke,0.5407905803195963,0.4275210084033613,0.9975490196078431,0.5985294117647059,0
subject90027119,Sadeh,0.7121212121212122,0.5606694560669456,0.9804878048780488,0.7133984028393966,0
subject90027119,Cole-Kripke,0.6648841354723708,0.5217391304347826,0.9951219512195122,0.6845637583892618,0
subject90032620,Sadeh,0.8259887005649718,0.7583774250440917,0.9619686800894854,0.8481262327416172,0
subject90032620,Cole-Kripke,0.7706214689265537,0.6912225705329154,0.9865771812080537,0.8129032258064516,0
subject90034319,Sadeh,0.7998204667863554,0.7005420054200542,0.9961464354527938,0.8225934765314239,0
subject90034319,Cole-Kripke,0.6436265709156194,0.5665938864628821,1.0,0.7233449477351916,0
subject90035219,Sadeh,0.7815344603381015,0.7014652014652014,0.9871134020618557,0.8201284796573876,0
subject90035219,Cole-Kripke,0.682704811443433,0.6142857142857143,0.9974226804123711,0.7603143418467584,0
subject90037827,Sadeh,0.8573059360730594,0.8214285714285714,0.9602385685884692,0.8854262144821264,0
subject90037827,Cole-Kripke,0.83675799086758,0.7922077922077922,0.9701789264413518,0.8722073279714031,0
subject90045119,Sadeh,0.7534562211981567,0.70995670995671,0.9742574257425742,0.8213689482470785,0
subject90045119,Cole-Kripke,0.7050691244239631,0.6693877551020408,0.9742574257425742,0.7935483870967741,0
subject90048425,Sadeh,0.7892335766423357,0.6925329428989752,0.9574898785425101,0.8037383177570094,0
